,test_id,gene_id,gene,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant,Transcript length (including UTRs and CDS),m6a_sites,m6a_ratio,SG_transcripts_per_cell,transcript_per_cell,fraction_molecules_in_SGs
0,ENST00000000233,ENSG00000004059.10,ARF5,SG,TOT,OK,18.6215,42.7525,-1.1990399999999999,3.2055599999999997,5e-05,0.000542289,yes,1032.0,0.0,0.102817106,1.7099632690541782,33.452660406885755,0.05111591270337969
1,ENST00000000442,ENSG00000173153.13,ESRRA,SG,TOT,OK,8.70762,16.0994,-0.8866569999999999,2.1918900000000003,0.00025,0.00243196,yes,2274.0,2.0,0.258322719,0.7995977961432507,12.59733959311424,0.06347354457129299
2,ENST00000001008,ENSG00000004478.7,FKBP4,SG,TOT,OK,57.9513,85.8561,-0.567079,1.5350700000000002,0.0098,0.0625577,no,3715.0,1.0,0.133669496,5.321515151515151,67.1800469483568,0.07921273344161177
3,ENST00000002125,ENSG00000003509.15,NDUFAF7,SG,TOT,OK,3.3730599999999997,3.58448,-0.08770499999999999,0.0554518,0.92595,0.95383,no,2184.0,1.0,0.410466921,0.3097392102846648,2.804757433489828,0.11043351078644645
4,ENST00000002165,ENSG00000001036.13,FUCA2,SG,TOT,OK,13.8533,34.0685,-1.29821,5.3493,5e-05,0.000542289,yes,2385.0,1.0,0.116526826,1.2721120293847568,26.657668231611893,0.047720303904008665
5,ENST00000002501,ENSG00000003249.13,DBNDD1,SG,TOT,OK,3.14356,4.13886,-0.396834,0.890943,0.12455,0.405789,no,2056.0,3.0,0.50324914,0.28866483011937555,3.238544600938967,0.08913412217194154
6,ENST00000003100,ENSG00000001630.16,CYP51A1,SG,TOT,OK,15.1456,32.7658,-1.1133,3.8580400000000004,5e-05,0.000542289,yes,3155.0,1.0,0.125446882,1.3907805325987144,25.638341158059465,0.054246120059975866
7,ENST00000005180,ENSG00000006606.8,CCL26,SG,TOT,OK,2.78599,8.88897,-1.67383,4.21818,5e-05,0.000542289,yes,475.0,0.0,,0.25583011937557393,6.95537558685446,0.03678163978076014
8,ENST00000005257,ENSG00000006451.7,RALA,SG,TOT,OK,4.29168,8.84539,-1.04338,4.0126,5e-05,0.000542289,yes,2787.0,2.0,0.247594913,0.39409366391184575,6.9212754303599375,0.05693945687859313
9,ENST00000005260,ENSG00000006453.13,BAIAP2L1,SG,TOT,OK,14.2008,11.5891,0.293204,-0.952792,0.0947,0.366237,no,3645.0,1.0,0.352858223,1.304022038567493,9.068153364632238,0.14380238027881856
